postalCode,price,n_rooms,living_area,equipped_kitchen,fireplace,terrace,area_terrace,garden,area_garden,n_facades
1070.0,179000.0,1.0,56.0,1.0,1.0,1.0,11.0,0.0,0.0,3.0
9600.0,179000.0,1.0,73.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
1400.0,180000.0,2.0,75.0,1.0,1.0,1.0,10.0,0.0,0.0,2.0
1400.0,180000.0,2.0,75.0,1.0,1.0,1.0,15.0,0.0,0.0,2.0
1020.0,185000.0,2.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1030.0,185000.0,0.0,53.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0
2170.0,185000.0,2.0,76.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0
9600.0,185000.0,1.0,74.0,1.0,0.0,1.0,6.0,1.0,140.0,2.0
2830.0,185250.0,2.0,83.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
1090.0,189000.0,1.0,75.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0
3300.0,189000.0,2.0,71.0,1.0,0.0,1.0,83.0,0.0,0.0,2.0
4500.0,189000.0,2.0,80.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
4590.0,189000.0,2.0,105.0,1.0,1.0,1.0,15.0,1.0,70.0,2.0
1070.0,190000.0,2.0,74.0,1.0,0.0,1.0,18.0,0.0,0.0,2.0
1083.0,195000.0,2.0,69.0,1.0,0.0,1.0,18.0,0.0,0.0,2.0
1170.0,195000.0,1.0,51.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
1410.0,195000.0,1.0,47.0,1.0,0.0,1.0,23.0,0.0,0.0,2.0
1630.0,195000.0,2.0,75.0,1.0,0.0,1.0,14.0,0.0,0.0,2.0
1083.0,198000.0,3.0,100.0,1.0,0.0,1.0,18.0,0.0,0.0,2.0
1020.0,199000.0,2.0,73.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0
1030.0,199000.0,1.0,84.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
4020.0,199000.0,2.0,79.0,1.0,0.0,1.0,7.0,0.0,0.0,2.0
4500.0,199000.0,2.0,96.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4680.0,199000.0,2.0,102.0,1.0,0.0,0.0,0.0,1.0,854.0,3.0
6043.0,199000.0,3.0,100.0,1.0,0.0,1.0,25.0,0.0,0.0,2.0
6043.0,199000.0,3.0,100.0,1.0,0.0,1.0,25.0,0.0,0.0,2.0
8370.0,199000.0,0.0,36.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
2600.0,199500.0,2.0,75.0,1.0,1.0,1.0,4.0,0.0,0.0,4.0
6870.0,200000.0,6.0,212.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8370.0,206000.0,2.0,59.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
1080.0,209000.0,3.0,88.0,1.0,0.0,1.0,6.0,0.0,0.0,2.0
1090.0,209000.0,2.0,92.0,1.0,0.0,1.0,6.0,0.0,0.0,2.0
1020.0,210000.0,2.0,95.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
1140.0,210000.0,2.0,76.0,1.0,0.0,1.0,36.0,0.0,0.0,2.0
9000.0,210000.0,1.0,44.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
1800.0,215000.0,1.0,62.0,1.0,0.0,1.0,36.0,0.0,0.0,2.0
8370.0,216000.0,1.0,56.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
1030.0,219000.0,2.0,80.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0
1090.0,219000.0,2.0,80.0,1.0,1.0,1.0,10.0,0.0,0.0,2.0
4680.0,219000.0,2.0,85.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0
4680.0,219000.0,3.0,111.0,1.0,0.0,0.0,0.0,1.0,200.0,2.0
9600.0,219000.0,2.0,125.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
1140.0,220000.0,2.0,77.0,1.0,0.0,1.0,14.0,0.0,0.0,2.0
1140.0,220000.0,2.0,90.0,1.0,0.0,1.0,14.0,0.0,0.0,2.0
1400.0,220000.0,3.0,100.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0
8792.0,220000.0,2.0,102.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
9900.0,223000.0,1.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2060.0,224000.0,1.0,50.0,1.0,1.0,1.0,13.0,0.0,0.0,4.0
4020.0,224000.0,3.0,154.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1000.0,225000.0,1.0,38.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0
1020.0,225000.0,2.0,85.0,1.0,0.0,1.0,22.0,0.0,0.0,2.0
8370.0,225000.0,2.0,91.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
9280.0,225000.0,2.0,100.0,1.0,1.0,0.0,0.0,1.0,280.0,2.0
6960.0,228000.0,4.0,290.0,1.0,1.0,0.0,0.0,1.0,300.0,4.0
1200.0,229000.0,1.0,76.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
4000.0,229000.0,2.0,100.0,1.0,0.0,1.0,6.0,0.0,0.0,3.0
4500.0,229000.0,2.0,80.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
8380.0,229000.0,2.0,65.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0
