url,region,province,district,postalCode,locality,street,Type_property,subtype_property,price,type_transaction,floor,n_rooms,living_area,equipped_kitchen,furnished,fireplace,terrace,area_terrace,garden,area_garden,land_surface,n_facades,n_floorCount,swimming_pool,state_building
https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/10672307,Brussels,Brussels,Brussels,1000,Brussels City,Avenue de la Renaissance,APARTMENT,APARTMENT,985000,FOR_SALE,7,4,221,1,0,0,0,0,0,0,0,2,10,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/flat-studio/for-sale/schaerbeek/1030/10679364,Brussels,Brussels,Brussels,1030,Schaerbeek,Allée des Freesias,APARTMENT,FLAT_STUDIO,165000,FOR_SALE,11,0,40,1,0,0,1,5,0,0,0,4,12,0,JUST_RENOVATED
https://www.immoweb.be/en/classified/apartment/for-sale/wetteren/9230/10680511,Flanders,East Flanders,Dendermonde,9230,Wetteren,Kapellestraat,APARTMENT,APARTMENT,220000,FOR_SALE,2,2,78,1,0,1,0,0,0,0,0,2,2,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10680313,Brussels,Brussels,Brussels,1200,Woluwe-Saint-Lambert,Avenue de Broqueville,APARTMENT,APARTMENT,230000,FOR_SALE,3,1,68,0,0,0,1,,0,0,0,2,7,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/10679608,Flanders,East Flanders,Oudenaarde,9700,Oudenaarde,Nestor de Tièrestraat,APARTMENT,APARTMENT,235000,FOR_SALE,1,2,103,1,0,0,1,12,0,0,0,3,2,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10679052,Flanders,East Flanders,Gent,9000,Gent,Hubert Frère Orbanlaan,APARTMENT,APARTMENT,435000,FOR_SALE,3,2,100,1,0,0,1,2,0,0,0,2,,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/10678994,Brussels,Brussels,Brussels,1150,Woluwe-Saint-Pierre,Boulevard Louis Schmidt,APARTMENT,APARTMENT,570000,FOR_SALE,8,2,105,1,0,0,1,8,0,0,0,2,8,0,JUST_RENOVATED
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10678815,Brussels,Brussels,Brussels,1200,Woluwe-Saint-Lambert,Avenue Gilbert Mullie,APARTMENT,APARTMENT,595000,FOR_SALE,2,4,150,1,0,0,1,9,0,0,0,2,4,0,GOOD
https://www.immoweb.be/en/classified/flat-studio/for-sale/ixelles/1050/10670715,Brussels,Brussels,Brussels,1050,Ixelles,Chaussee de Charleroi,APARTMENT,FLAT_STUDIO,185000,FOR_SALE,4,0,35,1,0,0,0,0,0,0,0,,6,0,GOOD
https://www.immoweb.be/en/classified/flat-studio/for-sale/saint-gilles/1060/10670714,Brussels,Brussels,Brussels,1060,Saint-Gilles,Chaussee de Charleroi,APARTMENT,FLAT_STUDIO,185000,FOR_SALE,4,0,35,1,0,0,0,0,0,0,0,,6,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/10601428,Brussels,Brussels,Brussels,1083,Ganshoren,Van Overbekelaan,APARTMENT,APARTMENT,219000,FOR_SALE,10,2,98,1,0,1,1,7,0,0,0,2,,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/10670795,Flanders,Antwerp,Antwerp,2140,Borgerhout,Turnhoutsebaan,APARTMENT,APARTMENT,175000,FOR_SALE,6,2,102,1,0,1,1,20,0,0,0,3,6,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10668949,Brussels,Brussels,Brussels,1070,Anderlecht,Rue Edmond Delcourt,APARTMENT,APARTMENT,239000,FOR_SALE,1,2,82,1,0,0,0,0,0,0,0,2,3,0,AS_NEW
